Provider Name,DBA (Doing Business As),Services Offered,Provider Phone,Primary E-mail Address,Secondary E-mail Address,Address,City,State,Zip Code,Primary Contact,Secondary Contact
"1ST CHOICE HOME CARE INC ","1ST CHOICE HOME CARE INC ","Attendant Care, Respite, Targeted Case Management, Personal Care, ","870-222-0088","admin@1stchoicehomecare.net",,"1035 WEST KINGSHIGHWAY","PARAGOULD","AR","72450","ALYCIA MERILA",
"A AMERICAN MEDICAL RENTALS INC ","A AMERICAN MEDICAL RENTALS INC ","Environmental Accessibility Adaptations/Adaptive Equipment, ","501-376-6922","david@americanmedicalrentals.com",,"6701 WEST 12TH STREET SUITE 14","LITTLE ROCK","AR","72204","DAVID WARD",
"A HELPING HAND HOME CARE","A HELPING HAND HOME CARE","Attendant Care, Personal Care, ","870-224-8056","ahelpinghandhomecare242@gmail.com",,"111 East Gaines Street","Monticello","AR","71655","Christina Cummins",
"A TOUCH OF MERCY LLC ","A TOUCH OF MERCY LLC ","Attendant Care, Personal Care, Targeted Case Management, Respite, ","903-559-4958","atouchofmercy@yahoo.com",,"4425 JEFFERSON AVENUE UNIT 117","TEXARKANA","AR","71854","MILDRED RIVERS",
"ABOVE & BEYOND HIGHLAND LLC ","ABOVE & BEYOND HIGHLAND LLC ","Attendant Care, Respite, Personal Care, ","870-856-3030","jeremy.above@yahoo.com",,"2852 B HWY 62/412","HIGHLAND","AR","72542","JEREMY THIELEMIER",
"ABUNDANCE OF BLESSINGS HOMECARE LLC","ABUNDANCE OF BLESSINGS HOMECARE LLC","Attendant Care, Personal Care, Respite, ","501-902-8847","abundanceofblessingshomecare@gmail.com",,"2 VILLA VISTA LOOP","LITTLE ROCK ","AR","72204","SHATIKA DANIELS",
"ACCESSIBILITY LIFTS OF ARKANSAS LLC ","ACCESSIBILITY LIFTS OF ARKANSAS LLC ","Environmental Accessibility Adaptations/Adaptive Equipment, ","501-794-1100","lisa@accessibilityar.com","jeff@accessibilityar.com","712 HIGHWAY 5 NORTH","BENTON","AR","72018","LISA LEWIS","JEFF LEWIS"
"ACCESSIBILITY SPECIALITIES INC ","ACCESSIBILITY SPECIALITIES INC ","Environmental Accessibility Adaptations/Adaptive Equipment, ","501-312-1000","mandy@asilr.com","asi@asilr.com","P O BOX 45875","LITTLE ROCK","AR","72114","MANDY CARMACK","RUSSELL MASHBURN"
"ADT LLC","ADT SECURITY SERVICES PROTECTION ONE ","Personal Emergency Response System, ","877-456-1787","BVOLLMER@ADT.COM","GOVTCONTRACTD@ADT.COM","10620 COLONEL GLENN ROAD SUITE 600","LITTLE ROCK","AR","72204","BRIAN VOLLMER",
"ADVANCED PERSONAL CARE LLC  ","ADVANCED PERSONAL CARE LLC  ","Attendant Care, Respite, Personal Care, ","870-269-7043","AdvancedPersonalCare2021@gmail.com","advancedpersonalcare2021@gmail.com","309 SOUTH PEABODY AVENUE","MOUNTAIN VIEW","AR","72560","NANCY M DICKERSON",
"ALERT RESPONSE LLC DBA AMA LIFELINE ","AMA LIFELINE","Personal Emergency Response System, ","972-318-0161","AMALIFELINE@YAHOO.COM","matt@alertresponse.com","618 FORT STREET","BARLING","AR","72923","MATT NEWTON",
"A-LIST HOME CARE LLC ","A-LIST HOME CARE LLC ","Attendant Care, Respite, Personal Care, ","479-877-6981","karen@a-listhomecre.com","sydney@wordenandworden.com","200 SOUTH 20TH ST, SUITE A-2","ROGERS","AR","72758","Karen Worden","Sydney Baughman"
"ALLCARE HOME CARE LLC  ","ALLCARE HOME CARE LLC  ","Attendant Care, Personal Care, Respite, Targeted Case Management, ","870-993-2273","sonia@allcarehomecarellc.com","allcarehomecare@yahoo.com","521 SOUTHWEST DRIVE","JONESBORO","AR","72401","SONIA BOLING",
"ALLCARE HOMECARE LLC ","ALLCARE HOMECARE LLC ","Attendant Care, Respite, Personal Care, ","870-933-2273","sonia@allcarehomecarellc.com","allcarehomecare@yahoo.com","202 NORTH PEABODY","MOUNTAIN VIEW","AR","72650","Sonia Boling",
"ALWAYS HOME CAREGIVING LLC  ","ALWAYS HOME CAREGIVING LLC  ","Attendant Care, Respite, Personal Care, ","501-918-9330","daniel@alwayshomecaregiving.com","info@alwayshomecaregiving.com","113 LAKESHORE DRIVE","HOT SPRINGS","AR","71913","DANIEL DISNEY",
"ALWAYS PROMOTING INDEPENDENCE HOMECARE LLC ","ALWAYS PROMOTING INDEPENDENCE HOMECARE LLC ","Attendant Care, Respite, Targeted Case Management, Personal Care, ","501-529-0803","toshua.promotingapi@gmail.com","promotingapi@gmail.com","3805 MCCAIN PARK DR ","NORTH LITTLE ROCK","AR","72116","TOSHUA WIGGINS",
"AMERICAN MEDICAL ALERT CORPORATION  ","AMERICAN MEDICAL ALERT CORPORATION  ","Personal Emergency Response System, ","917-246-9314","providerrelations@connectamerica.com","allison.seeley@connectamerica.com","217 W Second Street, Suite 211","Little Rock","AR","72201","Allison Seeley","Gina Sicker"
"AREA AGENCY ON AGING OF NORTHWEST ARKANSAS INC ","AREA AGENCY ON AGING OF NORTHWEST ARKANSAS INC ","Adult Day Services, ","870 741 1144","INFO@AAANWAR.ORG","BBAILEY@AAANWAR.ORG","1101-3 SPRING STREET ","MOUNTAIN HOME ","AR","72653","BRAD BAILEY ","PATTI CHISM "
"AREA AGENCY ON AGING OF NORTHWEST ARKANSAS INC","AREA AGENCY ON AGING OF NORTHWEST ARKANSAS INC","Attendant Care, Home Delivered Meals, Personal Care, Personal Emergency Response System, Respite, Targeted Case Management, ","870 741 1144","bbailey@aaanwar.org","info@aaanwar.org","1510 ROCK SPRINGS ROAD","HARRISON","AR","72602","BRAD BAILEY",
"ARKANSAS MAE COMPLETE SERVICES LLC DBA HOMECARE SOLUTIONS OF ARKANSAS","HOMECARE SOLUTIONS OF ARKANSAS","Attendant Care, Personal Care, Respite, ","870-203-6148","austinrook92@gmail.com","homecaresolutionsofar@gmail.com","2929 SOUTH CARAWAY SUITE 7","JONESBORO","AR","72401","AUSTIN ROOK",
"BAPTIST MEDICAL CENTER ARKADELPHIA","BAPTIST MEDICAL CENTER ARKADELPHIA","Personal Emergency Response System, ","870-245-1205","danyella.miller@baptist-health.org",,"3050 TWIN RIVERS DRIVE","ARKADELPHIA","AR","71923","Danyella Miller",
"BETTER HOME CARE LLC ","BETTER HOME CARE LLC ","Attendant Care, Respite, Targeted Case Management, Personal Care, ","870-715-5704","hilltopgang@yahoo.com","betterhomecare1@yahoo.com","715 WEST SHERMAN AVENUE, SUITE D","HARRISON","AR","72601","MEEGAN STANBROUGH",
"COMMUNITY BEST CARE LLC","COMMUNITY BEST CARE LLC","Attendant Care, Respite, Targeted Case Management, Personal Care, ","870-569-8082","amanda@communitybestcare.com","amanda@communitybestcare.com","400 HARRISON STREET SUITE 204","BATESVILLE","AR","72501","AMANDA MERRITT",
"EDEN HOUSE HOME CARE LLC ","EDEN HOUSE HOME CARE LLC ","Attendant Care, Respite, Personal Care, ","870-225-1058","edenhouse@electcompany.com",,"120 WEST TYLER AVE SUITE 200","WEST MEMPHIS","AR","72301","RICKY GRIFFIN",
"ELITE SENIOR CARE MANAGEMENT COMPANY LLC ","ELITE SENIOR CARE MANAGEMENT COMPANY LLC ","Attendant Care, Respite, Targeted Case Management, Personal Care, ","870-565-5203","lindseyhagood@icloud.com","eliteseniorcare6gmail.com","434 STATE HIGHWAY 18 BYPASS","MANILA","AR","72442","LINDSEY HAGOOD",
