Fleet, Refrigerated Trucks and Lift Gate Maintenance Services,,,,,,,,
CompanyName,ContactName,Address,City,State,PostalCode,Email,Phone,LastNotified,TimesNotified
2ND-TO-NONE-SERVICE,Kyle Williamson,5010 JEFFERSON ST. NE ,Albquerque,NM,87109,fleet-2ndtononeservice@outlook.com,5058888818,,0
2ND-TO-NONE-SERVICE,Lynnetta Rogers,5010 JEFFERSON ST. NE ,Albquerque,NM,87109,fleet-2ndtononeservice@outlook.com,5058888818,,0
Albuquerque Truck Equipment  Inc.,Gus Capels,7920 Ranchitos Loop N.E. ,Albuquerque,NM,87113,ramonaate@aol.com,5058988895,,0
Albuquerque Utility Equipment  Inc,Jeffrey Velasquez,611 Wyoming SE ,Albuquerque,NM,87123,bgonzales_abqutil@yahoo.com,5052655796,,0
APIC Solutions,Chris Martinez,5550 Midway Park Place NE ,ALBUQUERQUE,NM,87109,cmartinez@apicnm.com,15053451381,,0
APIC Solutions,Chris Martinez,5550 Midway Park Place NE ,ALBUQUERQUE,NM,87109,cmartinez@apicnm.com,15053451381,,0
AR Mechanical LLC,Anthony Rivera,231 General Chennault St. NE ,Albuquerque (Bernalillo),NM,87123,armechanical4@gmail.com,15052250669,,0
AR Mechanical LLC,Tamescia Rivera,231 General Chennault St. NE ,Albuquerque (Bernalillo),NM,87123,trivera.armechanical4@gmail.com,15059085011,,0
Brothers and Sons Trees,ADAN VASQUEZ,6113 SAINT JOSEPH CT NW ,ALB,NM,87120,avasquez6000@comcast.net,(505) 720-3957,,0
Brothers and Sons Trees,DIANA VASQUEZ,6113 SAINT JOSEPH CT NW ,ALB,NM,87120,avtrees5@gmail.com,15057203958,,0
Buck‘s Wheel & Equipment Co,Darren Brawner,5101 NORTH MAIN STREET ,FORT WORTH,TX,76179,darren@buckswheel.com,18173321228,,0
Buck‘s Wheel & Equipment Co,Darren Brawner,5101 NORTH MAIN STREET ,FORT WORTH,TX,76179,darren@buckswheel.com,18173321228,,0
BUDGET TRANSMISSION MASTERS,Dennis Rogers,725 Wyoming Blvd N.E. ,Albuquerque,NM,87123,budgettm@gmail.com,5052558601,,0
BUDGET TRANSMISSION MASTERS,Robert Franklin,725 Wyoming Blvd N.E. ,Albuquerque,NM,87123,budgettm@gmail.com,5052558601,,0
CAC  Inc.,Kevin Murray,610 Industrial Ave NE ,Albuquerque,NM,87107,kevinm@cacinc.net,5053436100,,0
Cano's Electrical Services LLC,Aron Cano Mendoza,9605 WEEMS AVE SW ,Albuquerque,NM,87121,canos58@yahoo.com,15052899020,,0
Clark Truck Equipment Co.,Chuck Clark,501 Industrial NE ,Albuquerque,NM,87107,kevin@cte-nm.com,5058808222,,0
Clark Truck Equipment Co.,Don Clark,501 Industrial NE ,Albuquerque,NM,87107,don@cte-nm.com,5058808222,,0
CMX Services LLC,Merica Busch,506 Who Who Drive  ,Carlsbad ,NM,88220,merica@cmxservices.com,18002582324,,0
Cooperative Educational Services,Jim Barentine,10601 Research Rd SE ,Albuquerque,NM,87123,jim@ces.org,15756465965,,0
Cooperative Educational Services,Jim Barentine,10601 Research Rd SE ,Albuquerque,NM,87123,jim@ces.org,15756465965,,0
Crispy Clean Mobile Carwash,Ivan Nicks,3011 Jane Place Ne #230 ,Albuquerque,NM,87111,ladre913@gmail.com,5058042222,,0
Crispy Clean Mobile Carwash,Margarita Pleasant,3011 Jane Place Ne #230 ,Albuquerque,NM,87111,pleasantmargarita@gmail.com,5054632479,,0
Cummins Inc,Cummins Bidteam,1921 Broadway Blvd NE ,Albuquerque,NM,87102,cssnabids@cummins.com,(800) 286-6467,,0
Cummins Inc,Melilssa Plebani,1921 Broadway Blvd NE ,Albuquerque,NM,87102,melissa.plebani@cummins.com,5052700321,,0
Del Sol Automotive Group LLC,Jeff Dobrian,7301 central ave NE ,Albuquerque,NM,87108,delsolautomotivegroup@gmail.com,5053562020,,0
Del Sol Automotive Group LLC,Richard Stover,7301 central ave NE ,Albuquerque,NM,87108,Richardstovermarch13@gmail.com,5053108568,,0
Desert Greens Equipment  Inc.,Adam Cherry,4850 Pan American Frwy NE ,Albuquerque,NM,87109,adam@desertgreensequipment.com,5058220311,,0
Duke City Heating and Cooling,Paul Franco,8300 Broadway ,Albuquerque,NM,87105,dukecityhvac@gmail.com,15054529972,,0
EM Enterprises,Henry Escalante,2116 Torrent Dr NW ,Albuquerque ,NM,87120,henryem@ementerprises.work,15053575775,,0
Gear One Enterprise,Jim Flanders,1031Calle Recodo  Suite A ,San Clemente,CA,92673,jim@gearonecom.com,9492767946,,0
Gear One Enterprise,Jim Flanders,1031Calle Recodo  Suite A ,San Clemente,CA,92673,jim@gearonecom.com,9493885785,,0
GNR Supply  Inc. / DBA: NAPA AUTO PARTS,Galen Holwell,201 S. Frazier St ,Conroe,TX,77301,galen@gnrsupply.com,19367565551,,0
GNR Supply  Inc. / DBA: NAPA AUTO PARTS,Galen Holwell,201 S. Frazier St ,Conroe,TX,77301,galen@gnrsupply.com,13034720230,,0
Gulf Atlantic Pump & Dredge  LLC,Brian Carter,3700 NW 91st ST Suite D400 ,Gainesville,FL,32606,bphillipcarter@gmail.com,3522158760,,0
Horizon Auto Glass & Tint,Laura Williams,8201 Menaul Blvd NE ,Albuquerque,NM,87110,laura@horizonabq.com,5058979000,,0
Horizon Auto Glass & Tint,Rod Williams,8201 Menaul Blvd NE ,Albuquerque,NM,87110,rod@horizonabq.com,5058979000,,0
IMSCO DIV.OF PURVIS INDUSTRIES,Jason  Hicks,5830 Midway Park N.E. ,Albuquerque,NM,87109,jason.hicks@purvisindustries.com,5053448024,,0
IMSCO DIV.OF PURVIS INDUSTRIES,Lary Sedillo,5830 Midway Park N.E. ,Albuquerque,NM,87109,lsedillo@theminesupplyco.com,5053448024,,0
Independent Radiator Service Corp,Mike Wickham,1701 Aspen Ave NW Unit W,Albuquerque,NM,87104,mike@independentradiator.com,5052474222,,0
Inland Kenworth US Inc,Allen Welch,7711 Fortuna Road NW ,Albuquerque,NM,87121,awelch@inland-group.com,5058840300,,0
Inland Kenworth US Inc,Don Balestrieri,7711 Fortuna Road NW ,Albuquerque,NM,87121,dbalestrieri@inland-group.com,5058840300,,0
Inland Kenworth US  Inc.,Mike Schreiber,7711 Fortuna Rd. NW ,Albuquerque,NM,87121,mikes@inland-group.com,5058840300,,0
Interstate All Battery Center,Trevor Westerfeld,10701 Corrales Road NW  ,Albuquerque,NM,87114,abc7144@ibsa.com,5058979500,,0
Interstate All Battery Center,Trevor Westerfield,10701 Corrales Road NW  ,Albuquerque,NM,87114,abc7144@ibsa.com,5058979500,,0
Iron Core Electric,Briana Sais,2148 Judy Rd SW ,Albuquerque,NM,87105,bsais.ironcore@gmail.com,15057129042,,0
Iron Core Electric,Briana Sais,2148 Judy Rd SW ,Albuquerque,NM,87105,bsais.ironcore@gmail.com,15057129042,,0
Irvin's Diesel Medics llc,Irvin Chavez,4516 2nd st nw suite c ,albuquerque,NM,87107,irvinsdieselmedics@yahoo.com,15055630407,,0
JB Henderson Construction Company I,Melissa Gomez,501 Eubank Blvd. SE ,Albuquerque,NM,87123,mgomez@jbhenderson.com,15052928955,,0
