"Agency Name","Agency URL","Street Address 1","Street Address 2",City,State,Zip,Phone,"Phone 2","Toll-Free Phone",Fax,"Preferred Email","First Name","Last Name","Employee Title"
"Adams County Health & Human Services Department",https://www.co.adams.wi.us/departments/health-human-services,"108 E. North Street",,Friendship,Wisconsin,53934,888-830-3454,,,608-339-4585,hhsdirector@co.adams.wi.us,Kelly,Oleson,Director
"Ashland County Health & Human Services Department",https://ashlandcountywi.gov/health_human_services,"630 Sanborn Avenue",,Ashland,Wisconsin,54806,715-682-7004,,800-682-7004,,achsd@ashlandcountywi.gov,Terry,Barningham,Director
"Barron County Department of Health & Human Services",https://www.barroncountywi.gov/health-and-human-services,"335 E. Monroe Avenue, Room 338",,Barron,Wisconsin,54812,715-537-5691,,,715-537-6363,bchs@co.barron.wi.us,Karla,Potts-Shufelt,Director
"Bayfield County Department of Human Services",https://www.bayfieldcounty.wi.gov/143/Human-Services,"117 E. 5th Street","PO Box 100",Washburn,Wisconsin,54891,715-373-6144,,,715-373-6130,baycodhs@bayfieldcounty.wi.gov,Tom,Croteau,Director
"Brown County Health & Human Services Department",https://www.browncountywi.gov/departments/health-human-services/general-informa…,"111 N Jefferson Street","PO Box 22188","Green Bay",Wisconsin,54305,920-448-6000,,,920-448-6166,BC_Human_Services@browncountywi.gov,Erik,Pritzl,Director
"Buffalo County Department of Health & Human Services",https://www.buffalocountywi.gov/173/Health-Human-Services,"407 S 2nd St","PO Box 517",Alma,Wisconsin,54610,608-685-6304,608-685-4412,,608-685-3342,dhhs@buffalocountywi.gov,Carri,Renchin,Director
"Burnett County Health & Human Services Department",https://www.burnettcountywi.gov/75/Health-and-Human-Services,"7410 County Road K Suite 280",,Siren,Wisconsin,54872-9043,715-349-7600,,,715-349-2145,ashley.shropshire@burnettcountywi.gov,Ashley,Shropshire,Director
"Calumet County Department of Health & Human Services",https://www.co.calumet.wi.us/155/Health-and-Human-Services,"206 Court Street",,Chilton,Wisconsin,53014-1198,920-849-1400,,,920-849-1468,humansvc@calumetcounty.org,Todd,Romenesko,"County Administrator"
"Calumet County Department of Health & Human Services",https://www.co.calumet.wi.us/155/Health-and-Human-Services,"206 Court Street",,Chilton,Wisconsin,53014-1198,920-849-1400,,,920-849-1468,humansvc@calumetcounty.org,Lynn,Brenner,"Deputy Director"
"Chippewa County Department of Human Services",https://www.chippewacountywi.gov/177/Human-Services,"711 N Bridge St",,"Chippewa Falls",Wisconsin,54729,715-726-7788,,,715-726-7736,DHS@chippewacountywi.gov,Bobbie,Jaeger,Director
