FID,ogc_fid,id,@id,addr:city,addr:housenumber,addr:street,brand,brand:wikidata,building,building:levels,contact:phone,email,guest_house,height,int_name,internet_access,internet_access:fee,landuse,name,name:en,name:kk,name:ru,note,official_name,opening_hours,operator,phone,rooms,source,stars,tourism,website,wheelchair,geometry
export.1,1,way/334511755,way/334511755,,20,берег озера Щучье,Rixos Hotels,Q6075716,yes,4,,,,,,,,,Риксос Боровое,,,,,,,,,,,,hotel,https://borovoe-ru.rixos.com/,,"POLYGON ((70.2407266 52.9739749, 70.2406695 52.9739484, 70.2406372 52.9739095, 70.2406361 52.973866, 70.2406665 52.9738266, 70.2407223 52.973799, 70.2407924 52.9737887, 70.240863 52.9737978, 70.2416215 52.9739957, 70.2417633 52.9739858, 70.242235 52.9737655, 70.2423413 52.9737158, 70.2423821 52.9737043, 70.2424266 52.9737002, 70.2424712 52.9737038, 70.2425124 52.9737148, 70.2425467 52.9737323, 70.2425716 52.9737549, 70.2425848 52.9737808, 70.2425855 52.9738079, 70.2425735 52.973834, 70.2425497 52.973857, 70.2425162 52.9738751, 70.2424161 52.9739219, 70.2419553 52.9741371, 70.2419076 52.9742076, 70.2419998 52.9746424, 70.2419959 52.9746758, 70.2419742 52.9747066, 70.2419371 52.9747315, 70.2418885 52.9747478, 70.2418338 52.9747536, 70.2417789 52.9747484, 70.2417298 52.9747327, 70.2416919 52.9747083, 70.2416692 52.9746777, 70.2415702 52.9742284, 70.241507 52.9741789, 70.2407266 52.9739749))"
export.2,2,way/404240722,way/404240722,,1/2,Астана-Кокшетау,,,yes,,,,,,,,,,Кен Дала,Ken Dala,,Кен Дала,,,,,,,,,motel,,,"POLYGON ((70.1980631 52.9009995, 70.197933 52.9011193, 70.198069 52.901173, 70.1980306 52.9012084, 70.1979026 52.9013262, 70.1977169 52.9012528, 70.1981404 52.9008628, 70.1986124 52.9010493, 70.1984853 52.9011663, 70.1980631 52.9009995))"
export.3,3,way/713030390,way/713030390,аул Сарыбулак,24,Жайлау,,,yes,,,,guest_house,,,,,,Виктория+,,,,,,,,+7 (71636) 5–95–95,4,,,guest_house,,,"POLYGON ((70.3535826 53.0235937, 70.3536419 53.0235439, 70.3534981 53.0234742, 70.3535878 53.0234203, 70.3536109 53.0234296, 70.3536712 53.0233896, 70.353682 53.0233961, 70.3537454 53.0233561, 70.3537611 53.023365, 70.3538302 53.0233062, 70.3539742 53.023417, 70.3539051 53.0234655, 70.3539512 53.0234932, 70.3537266 53.023656, 70.3535826 53.0235937))"
export.4,4,way/1060049052,way/1060049052,Бурабай,44,улица Кенесары,Grand Prix,,apartments,,,,,,,wlan,no,,Grand Prix Burabay,,,,карты osm до 2019 года. требуется обновление карт,,,,+77772226979,11,gps;survey;local knowledge;osm notes;streetlevel imagery,,hotel,https://grandprixclub.kz/,,"POLYGON ((70.304377 53.0794284, 70.3046798 53.0787077, 70.3047329 53.0785971, 70.3051187 53.0786482, 70.3047471 53.0794816, 70.304377 53.0794284))"
export.5,5,way/1118897297,way/1118897297,Щучинский,3/1,Зелёная улица,,,hotel,4,+7 705 6125222,,,9,,,,,Orman ski,Orman ski,,,,,,,,,,,hotel,,,"POLYGON ((70.2021831 53.0128002, 70.2022954 53.012892, 70.202197 53.0129356, 70.2022434 53.0129735, 70.201903 53.0131241, 70.2017444 53.0129943, 70.2021831 53.0128002))"
export.6,6,way/1157585171,way/1157585171,,,,,,,,,,,,,,,recreation_ground,,,,,,,,,,,,,guest_house,,,"POLYGON ((70.3090527 53.083871, 70.3083194 53.0838229, 70.3090773 53.0823239, 70.3092807 53.0819612, 70.3104207 53.0822166, 70.3100633 53.0826607, 70.3097367 53.0825164, 70.3090527 53.083871))"
export.7,7,node/447845715,node/447845715,,,,,,,,,,,,,,,,ГК Беркуты,,,,,,,,,,,,hotel,,,POINT (70.5376425 52.8892705)
export.8,8,node/494780299,node/494780299,,,,,,,,,,,,Maybalıq,,,,Майбалық,,Майбалық,Майбалык,,,,,,,,,hotel,,,POINT (70.28069 53.1333336)
export.9,9,node/506870996,node/506870996,,,,,,,,,,,,,,,,Бура,,,,,,,,,,,,hotel,,,POINT (70.1987565 53.0121447)
export.10,10,node/506870997,node/506870997,,,,,,,,,,,,,,,,Самал,,,,,,,,,,,,hotel,,,POINT (70.2011933 53.0123628)
export.11,11,node/506870998,node/506870998,,,,,,,,,,,,,,,,Алмаз,,,,,,,,,,,,hotel,,,POINT (70.2010027 53.0097146)
